 ,,, ,,,,,,, ,,,,, ,
,Juju's Text Engine,,,,Blocks are always 6 colums wide!,,,,,,,Dialogue box explanation,,,,
,v4 Frilly Knickers,,,1,2,3,4,5,6,,,,,,,
,14th December '15,,,,,,,,,,!!sB,,,,,
,,,,!!startBlock,,,,,,,diag0,Dialogue boxes are perfect for implementing text and dialogue trees in RPG or text/narrative-heavy games. They're also very useful in the mobile sphere where you may want to use them for various pieces of feedback.,,[green]Continue,,diag1
,@jujuadams,,,,"//You can put comments inside a block by using double slashes, much like GML",,,,,,diag1,"Much like [fontAbold]scr_juju_text[], the dialogue box system uses container objects to handle all the nitty-gritty for you. Create a dialogue box using [fontAbold]scr_juju_dialogue_box[] and the script will return an ",,[green]Continue,,diag2
,/u/jujuadams,,,//tag,//text,//check script,//option text,//script to run,//tag destination,,,instance id.##The dialogue box will destroy itself (and all dependent children instances) when the conversation ends. You can also manually destroy it using [fontAbold]instance_destroy().[],,,,
,Juju on the GMC,,,,,,,,,,diag2,"Dialogue trees are typically considered to be complex and time-consuming to put together in GameMaker. Fortunately, [fontBitalic]Frilly Knickers[] has you covered!##An in-built .csv loader allows you to make an ",,[green]Continue,,diag3
,,,,intro0,"[fontAbold]Hello![]##Welcome to [orange]Juju's Text Engine[/c], 22nd Dec '15#This is version 4 - [fontBitalic]""Frilly Knickers""[]##With thanks to [fontAbold]Drey Hager[] and [fontAbold]Runae Lee.[]#",,[green]Continue,,intro1,,,entire game's worth of text and dialogue on a spreadsheet. It's worth opening up the included .csv file to have a look at the format used.,,,,
,This is an extension/expansion of v3 Fancy Pants,,,,,,"[orange]Hey, go follow @jujuadams",scr_open_twitter,intro1,,diag3,"In brief, sections of dialogue are given [fontAitalic]tags[] that act as linking points. Each dialogue option routes the dialogue tree from one [fontAitalic]tag[] to another. Dialogue options can run scripts then they're ",,[green]Continue,,diag4
,http://gmc.yoyogames.com/index.php?showtopic=683788,,,intro1,"Version 4 is a step up. There's an entire dialogue system that is [green]easy to use[/c], [blue]easy to integrate[], and [red]easy to expand[/c].##",,[green]Ok,,intro10,,,"clicked.##For example, in a simple trader situation you may want to deduct money from a player's inventory whilst giving them an item. This can be triggered by a single script connected to a dialogue option.",,,,
,,,,,Juju's also fixed a fair few bugs as well. All the in-line formatting features from version 3 are still here in their new guise as [fontAitalic]styles[].#,,"[red]Wait up, I didn't use version 3. What's all this about?",,new0,,diag4,Dialogue options can also be removed on-the-fly by using a [fontAitalic]check script[]. This piece of dialogue text actually has two options but one of the options is simply turned off. This is great for implementing ,scr_always_false,[red]This won't show up :(,,
,"For more information on how the text rendering system works, please read the commenting in the attached project file.",,,new0,Version 3 [fontAitalic]Fancy Pants[] was a text engine that made in-line text formatting super easy. ,,[green]Continue,,new1,,,"secondary or optional dialogue trees depending on, say, a character's charisma score or if they're found the MacGuffin of Extra Content.",scr_always_true,[green]Back,,intro10
,,,,,"It used a tagging system, a little like BBCode or HTML formatting, to send commands to a text parser that did all the thinking for you. ",,,,,,!!eB,,,,,
,"This .csv loader operates on the principle of ""blocks"" of text. Each block is always treated as being 6 colums wide but",,,,"GameMaker doesn't do much to help you when drawing text, this text engine fills in the gaps.",,,,,,,,,,,
,is of indeterminate height. Only text that is inside these blocks is added to the database. This means you can put,,,,,,,,,,,,,,,
,"commentry etc. around your text in a natural, human-readable manner.",,,new1,"This engine uses individual objects to represent text on the screen. By calling [fontAbold]scr_juju_text()[], an instance is created that parses the text and does all the drawing ",,[green]Continue,,new2,,,,,,,
,,,,,for you. This instance will exist in the room until you tell it not to - [fontAbold]scr_juju_text()[] returns an instance id that you can destroy in the normal manner.,,,,,,!!sB,,,,,
,The markers !!startBlock and !!endBlock are used to define blocks of content and must be placed at the top and bottom,,,,,,,,,,commands0,Commands act as a special type of tag that allow specific commands to be executed whilst text is being displayed. Commands are executed once; typically this feature is used in conjunction with typewriter text. ,,[green]Continue,,commands1
,"of the first column. Each column, 1 through 6 inclusive, provide information for the database:",,,new2,[fontAbold]scr_juju_text()[] is very flexible. The text engine natively handles [fontAbold]text wrapping[] by placing customiseable limits on text width and also features ,,[green]Continue,,intro10,,,Example uses are triggering portrait animations using the [fontAitalic]!spr[] and [fontAitalic]!img[] commands or executing some kind of special effect.,,,,
